account,date,classification,daily_pnl,trades_count,avg_trade_size,avg_exposure,win_rate,long_ratio,exposure_segment,frequency_segment,consistency_segment,next_day_pnl,profitable_next_day,behavior_cluster
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,Fear,183403.024142,258,215.64699596899223,-3106.209145156268,0.2441860465116279,0.3217054263565891,Low Exposure,Low Frequency,Inconsistent,,0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,Extreme Greed,0.0,88,8550.477272727272,395961.0681818182,0.0,1.0,High Exposure,Low Frequency,Inconsistent,145563.448374,1,1.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,Neutral,145563.448374,249,798.081980342972,55752.30687994137,0.9518072289156626,0.0120481927710843,High Exposure,Low Frequency,Consistent,160450.518105,1,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,Greed,160450.518105,43,2961.211063395349,18644.428737813952,0.8837209302325582,0.0,High Exposure,Low Frequency,Consistent,110527.905862,1,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,Fear,110527.905862,671,939.1015946348734,22547.4238152012,0.4828614008941878,0.3144560357675112,High Exposure,Low Frequency,Consistent,,0,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,Greed,69282.42904,3711,1186.5967464861114,-5410.746021741641,0.3381837779574239,0.46833737537052,Low Exposure,High Frequency,Inconsistent,32683.214094,1,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,Fear,32683.214094,4629,438.86966150844887,-2121.3932960323627,0.3655217109526895,0.4903866925901922,Low Exposure,High Frequency,Inconsistent,,0,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,Greed,61076.167808,328,2375.65031097561,97885.34152439024,0.4115853658536585,0.5579268292682927,High Exposure,Low Frequency,Consistent,613327.827224,1,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,Fear,613327.827224,3806,779.9780641933789,45926.91525875439,0.4952706253284288,0.4721492380451918,High Exposure,High Frequency,Consistent,,0,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,Extreme Greed,-7919.471032000002,730,1.910389589041096,3.909650684931507,0.3068493150684931,0.4890410958904109,Low Exposure,Low Frequency,Inconsistent,-25991.506339,0,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,Neutral,-25991.506339,1309,5.636603271634836,32.04379196529412,0.3315508021390374,0.5393430099312452,Low Exposure,High Frequency,Inconsistent,111230.498007,1,0.0
